image,implementation,reg,iterations,time_s,mem,allocs,psnr
imagen_borrosa,original,noreg,10,0.021166583,7354272,33,26.825887121688694
imagen_borrosa,adaptada,noreg,10,0.0208566665,7355248,54,26.462631432879327
imagen_borrosa,original,TV,10,0.027720792,18897344,395,28.01947410577958
imagen_borrosa,adaptada,TV,10,0.026829854,18898000,406,27.752102642781857
imagen_borrosa,original,noreg,30,0.0588053125,7354272,33,24.385842171633154
imagen_borrosa,adaptada,noreg,30,0.059409917,7357168,94,24.340442325874307
imagen_borrosa,original,TV,30,0.078020375,39884544,1055,26.37737035338337
imagen_borrosa,adaptada,TV,30,0.076776875,39886480,1086,26.365511804920352
imagen_borrosa,original,noreg,60,0.115397125,7354272,33,23.590112287504994
imagen_borrosa,adaptada,noreg,60,0.117815417,7360048,154,23.595960312704825
imagen_borrosa,original,TV,60,0.153850292,71365344,2045,26.017917729573995
imagen_borrosa,adaptada,TV,60,0.153074625,71369200,2106,26.0252407951944
imagen_borrosa,original,noreg,100,0.190808687,7354272,33,23.182887554869023
imagen_borrosa,adaptada,noreg,100,0.195337916,7363888,234,23.201390682078284
imagen_borrosa,original,TV,100,0.2553617085,113339744,3365,25.898524235795307
imagen_borrosa,adaptada,TV,100,0.2535861875,113346160,3466,25.89981432642833
